Unnamed: 0,reviews,sentiment,entities,review_length
0,british airway absolute rubbish fly amsterdam urgent appointment flight cancelled last minute presumably due bad weather theyve kept u gate saying plane couldnt land literally every plane airport taking landing zero issue another klm flight amsterdam scheduled depart time took time another klm flight amsterdam later evening also took without problem one operated british airway cancelled bad weather apparently weather bad every plane could land take successfully apart rebook eurostar next day would still miss important appointment intended go amsterdam thanks british airway,positive,[],579
1,flight time changed last minute without warning assistance provided ground staff 3rd party agent regarding impact delay help forthcoming phoneline nobody airline want take responsibility anything fundamentally unreliable airline onboard service poor even good low cost airline,positive,[],276
2,im fraustrated flight cancelled last minute wasnt end world even though earliest could get rebooked three day later insane saga event proceeded claim compensation im legally entitled according eu rule used claim page ok became incomprehensibly frustrating case closed confirmation conclusion money tried calling kept lead circle customer service cant speak claim team claim team cant spoken directly customer service dont access claim team system 4 call later nothing could done throw toy pram last call someone finally updated thought end confirmed claim would transferred due got amount wrong wrote highlight said would rectify almost 1 month since original flight cancelled still havent received owed compensation wife son sent two email last two day ive yet get response criminal adhering aviation rule dictate compensation cancelled flight terrible customer service honestly cant belive ba capable awful service,negative,[],916
3,sat plane hour forty five minute awaiting takeoff due bad weather london understandable safety fortunately long layover delay affect however many others lucky waiting given one small bottle water one tiny pack corn kernel later food drink offered purchase complaint sitting idle plane nearly two hour possibly missing connecting flight cant give u free bag chip coke asked told british airway really cheap money grubbing,positive,[],420
4,british airway stranding wife heathrow airport 25 day access baggage told airline employee purchase necessity toiletry refreshment etc wed reimbursed claim denied ba claiming weather reason delay outright lie since every airline london flying ontime unable anything besides stand line voucher stand line shuttle stand line reservation etc 48 hour absolute nightmare never fly ba,negative,[],378
5,although like many day avoid ba long haul london heathrow due perception poor service lack customer service thing go wrong pleasantly surprised recent flight belfast aircraft actually left time arrived ahead schedule cabin crew looked bored uninspired often ba read time didnt really matter quiet flight say emergency exit unchallenged handy would fly ba pressed,positive,[],362
6,flight british airway best flight attendant outstanding processional attentive helpful food good seatlie flat bed comfortable love smart design a350 club world cabin wonderful flight home,positive,[],187
7,worst airline ever flown cancelled flight 3 hour departure didnt even contact didnt put new flight rebook next day also left find accommodation nightmare refused compensation left stranded onboard service also archaic outdated plane oldest airline ive flown food service worst ive ever experienced ive travelled airline emirate etihad thai malaysian qantas cathay ua etc fly ba,negative,[],377
8,disappointing service plane interior terribly incompetent customer service booked flight directly ba website soon started get email saying selected seat paid extra selection changed ba without reason given directed website found information said seat change happened several time 4 flight altogether website seems digital dinosaur first leg flight fine discovered transfer area heathrow forgot new laptop onboard immediately contacted ba called customer service oxymoron basically said anything would wait cleaner working contractor would finished job hope would discover laptop return called lost found airport ba customer service said couldnt contact colleague terminalgate plane still let know lost laptop seat 27a plane yes told exactly laptop wouldnt take contact detail either notify laptop would returned refused register incident simply interest assisting didnt even make attempt pretend communication via online customer service poor didnt even respond message end emailed representative heathrow replied message form supervisor reveal name duty british airway find lost property behalf passenger however would like dispute contact customer relation online feedback took responsibility referred smartecarte contractor cleaning plane apparently collecting lost item heathrow received laptop worth 2 thousand gbp back 3 week later flight london cape town 12 hour unpleasant flight attendant seemingly unenthusiastic job took hour collect trash meal also distributed extremely slowly food good boarding slow inefficient drink offered twice otherwise youd ask especially long flight seat fabric uncomfortable room scarce relax sleep flying british airway disappointing keen flying,negative,['oxymoron'],1685
9,transit visa required partner transit via london iceland buy separate ticket via another airline reach iceland emailed british airway telling wont using return ticket requested partial refund 2 day later received email customer service need contact one service centre via provided link replied say link go page various british landline phone number call explained overseas practical via international call replied say contacting service centre airline end taking money regardless,negative,[],479
